image,config,n_components,n_gt_groups,n_pred_groups,port_correct_rate,fp_rate,fn_rate,group_accuracy,comp_neighbor_accuracy
C19_D1_P2,Baseline,12,5,3,0.16279069767441862,0.8627450980392157,0.8372093023255814,0.0,0.0
C19_D1_P2,w/o_Sobel,12,5,4,0.16279069767441862,0.7741935483870968,0.8372093023255814,0.0,0.0
C19_D1_P2,w/_Skeleton,12,5,4,0.16279069767441862,0.7741935483870968,0.8372093023255814,0.0,0.0
C19_D1_P2,CCL,12,5,1,0.11627906976744186,0.8611111111111112,0.8837209302325582,0.0,0.0
C20_D1_P1,Ours,4,3,1,0.14285714285714285,0.6666666666666666,0.8571428571428571,0.0,0.0
C20_D1_P1,Baseline,4,3,2,0.2857142857142857,0.5,0.7142857142857143,0.0,0.0
C20_D1_P1,w/o_Sobel,4,3,1,0.14285714285714285,0.6666666666666666,0.8571428571428571,0.0,0.0
C20_D1_P1,w/_Skeleton,4,3,1,0.14285714285714285,0.6666666666666666,0.8571428571428571,0.0,0.0
C20_D1_P1,CCL,4,3,0,0.0,0.0,1.0,0.0,0.0
C22_D2_P1,Ours,10,7,2,0.2727272727272727,0.8928571428571429,0.7272727272727273,0.0,0.0
C22_D2_P1,Baseline,10,7,1,0.2727272727272727,0.8909090909090909,0.7272727272727273,0.0,0.0
C22_D2_P1,w/o_Sobel,10,7,2,0.2727272727272727,0.8928571428571429,0.7272727272727273,0.0,0.0
C22_D2_P1,w/_Skeleton,10,7,2,0.2727272727272727,0.8928571428571429,0.7272727272727273,0.0,0.0
C22_D2_P1,CCL,10,7,1,0.22727272727272727,0.8888888888888888,0.7727272727272727,0.0,0.0
C22_D2_P4,Ours,10,7,3,0.18181818181818182,0.8918918918918919,0.8181818181818182,0.0,0.0
C22_D2_P4,Baseline,10,7,1,0.2727272727272727,0.8909090909090909,0.7272727272727273,0.0,0.0
C22_D2_P4,w/o_Sobel,10,7,3,0.18181818181818182,0.8918918918918919,0.8181818181818182,0.0,0.0
C22_D2_P4,w/_Skeleton,10,7,3,0.18181818181818182,0.8918918918918919,0.8181818181818182,0.0,0.0
C22_D2_P4,CCL,10,7,1,0.2727272727272727,0.8909090909090909,0.7272727272727273,0.0,0.0
C23_D2_P1,Ours,16,8,10,0.2898550724637681,0.4444444444444444,0.7101449275362319,0.0,0.0
C23_D2_P1,Baseline,16,8,6,0.36231884057971014,0.7368421052631579,0.6376811594202898,0.0,0.0625
C23_D2_P1,w/o_Sobel,16,8,10,0.2898550724637681,0.4444444444444444,0.7101449275362319,0.0,0.0
C23_D2_P1,w/_Skeleton,16,8,10,0.2898550724637681,0.4444444444444444,0.7101449275362319,0.0,0.0
C23_D2_P1,CCL,16,8,6,0.21739130434782608,0.375,0.782608695652174,0.0,0.0
C27_D1_P1,Ours,17,11,2,0.2727272727272727,0.9130434782608695,0.7272727272727273,0.0,0.0
C27_D1_P1,Baseline,17,11,3,0.45454545454545453,0.7777777777777778,0.5454545454545454,0.0,0.0
C27_D1_P1,w/o_Sobel,17,11,2,0.2727272727272727,0.9130434782608695,0.7272727272727273,0.0,0.0
C27_D1_P1,w/_Skeleton,17,11,2,0.2727272727272727,0.9130434782608695,0.7272727272727273,0.0,0.0
C27_D1_P1,CCL,17,11,6,0.2727272727272727,0.25,0.7272727272727273,0.18181818181818182,0.17647058823529413
C27_D1_P2,Ours,17,11,1,0.4090909090909091,0.9010989010989011,0.5909090909090909,0.0,0.0
C27_D1_P2,Baseline,17,11,2,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.11764705882352941
C27_D1_P2,w/o_Sobel,17,11,1,0.4090909090909091,0.9010989010989011,0.5909090909090909,0.0,0.0
C27_D1_P2,w/_Skeleton,17,11,1,0.4090909090909091,0.9010989010989011,0.5909090909090909,0.0,0.0
C27_D1_P2,CCL,17,11,5,0.18181818181818182,0.2,0.8181818181818182,0.09090909090909091,0.11764705882352941
C2_D1_P1,Ours,11,8,4,0.5454545454545454,0.6666666666666666,0.45454545454545453,0.125,0.0
C2_D1_P1,Baseline,11,8,4,0.4090909090909091,0.6086956521739131,0.5909090909090909,0.125,0.0
C2_D1_P1,w/o_Sobel,11,8,4,0.5454545454545454,0.6666666666666666,0.45454545454545453,0.125,0.0
C2_D1_P1,w/_Skeleton,11,8,4,0.5454545454545454,0.6666666666666666,0.45454545454545453,0.125,0.0
C2_D1_P1,CCL,11,8,3,0.13636363636363635,0.0,0.8636363636363636,0.25,0.18181818181818182
C2_D1_P2,Ours,11,8,5,0.45454545454545453,0.5833333333333334,0.5454545454545454,0.125,0.09090909090909091
C2_D1_P2,Baseline,11,8,2,0.4090909090909091,0.8656716417910447,0.5909090909090909,0.0,0.0
C2_D1_P2,w/o_Sobel,11,8,5,0.45454545454545453,0.5833333333333334,0.5454545454545454,0.125,0.09090909090909091
C2_D1_P2,w/_Skeleton,11,8,5,0.45454545454545453,0.5833333333333334,0.5454545454545454,0.125,0.09090909090909091
C2_D1_P2,CCL,11,8,3,0.13636363636363635,0.0,0.8636363636363636,0.25,0.2727272727272727
C2_D2_P2,Ours,11,8,5,0.5909090909090909,0.59375,0.4090909090909091,0.25,0.09090909090909091
C2_D2_P2,Baseline,11,8,4,0.7727272727272727,0.6046511627906976,0.22727272727272727,0.25,0.09090909090909091
C2_D2_P2,w/o_Sobel,11,8,5,0.5909090909090909,0.59375,0.4090909090909091,0.25,0.09090909090909091
C2_D2_P2,w/_Skeleton,11,8,5,0.5909090909090909,0.59375,0.4090909090909091,0.25,0.09090909090909091
C2_D2_P2,CCL,11,8,4,0.13636363636363635,0.25,0.8636363636363636,0.125,0.18181818181818182
C313_D2_P1,Ours,10,6,4,0.2631578947368421,0.5454545454545454,0.7368421052631579,0.0,0.0
C313_D2_P1,Baseline,10,6,2,0.21052631578947367,0.84,0.7894736842105263,0.0,0.0
C313_D2_P1,w/o_Sobel,10,6,4,0.2631578947368421,0.5454545454545454,0.7368421052631579,0.0,0.0
C313_D2_P1,w/_Skeleton,10,6,4,0.2631578947368421,0.5454545454545454,0.7368421052631579,0.0,0.0
C313_D2_P1,CCL,10,6,3,0.2631578947368421,0.0,0.7368421052631579,0.0,0.0
C317_D1_P1,Ours,8,5,3,0.21428571428571427,0.76,0.7857142857142857,0.0,0.0
C317_D1_P1,Baseline,8,5,2,0.07142857142857142,0.8461538461538461,0.9285714285714286,0.0,0.0
C317_D1_P1,w/o_Sobel,8,5,3,0.21428571428571427,0.76,0.7857142857142857,0.0,0.0
C317_D1_P1,w/_Skeleton,8,5,3,0.21428571428571427,0.76,0.7857142857142857,0.0,0.0
C317_D1_P1,CCL,8,5,1,0.03571428571428571,0.9,0.9642857142857143,0.0,0.0
C32_D1_P1,Ours,8,7,4,0.38461538461538464,0.5,0.6153846153846154,0.2857142857142857,0.25
C32_D1_P1,Baseline,8,7,2,0.23076923076923078,0.25,0.7692307692307693,0.14285714285714285,0.25
C32_D1_P1,w/o_Sobel,8,7,4,0.38461538461538464,0.5,0.6153846153846154,0.2857142857142857,0.25
C32_D1_P1,w/_Skeleton,8,7,4,0.38461538461538464,0.5,0.6153846153846154,0.2857142857142857,0.25
C32_D1_P1,CCL,8,7,2,0.15384615384615385,0.0,0.8461538461538461,0.14285714285714285,0.0
C32_D2_P1,Ours,8,7,4,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.0
C32_D2_P1,Baseline,8,7,4,0.38461538461538464,0.5454545454545454,0.6153846153846154,0.14285714285714285,0.0
C32_D2_P1,w/o_Sobel,8,7,4,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.0
C32_D2_P1,w/_Skeleton,8,7,4,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.0
C32_D2_P1,CCL,8,7,0,0.0,0.0,1.0,0.0,0.0
C34_D2_P1,Ours,8,5,2,0.26666666666666666,0.0,0.7333333333333333,0.0,0.0
C34_D2_P1,Baseline,8,5,1,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0
C34_D2_P1,w/o_Sobel,8,5,2,0.26666666666666666,0.0,0.7333333333333333,0.0,0.0
C34_D2_P1,w/_Skeleton,8,5,2,0.26666666666666666,0.0,0.7333333333333333,0.0,0.0
C34_D2_P1,CCL,8,5,1,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0
C42_D1_P2,Ours,12,7,4,0.04878048780487805,0.875,0.9512195121951219,0.0,0.0
C42_D1_P2,Baseline,12,7,2,0.04878048780487805,0.9259259259259259,0.9512195121951219,0.0,0.0
C42_D1_P2,w/o_Sobel,12,7,4,0.04878048780487805,0.875,0.9512195121951219,0.0,0.0
C42_D1_P2,w/_Skeleton,12,7,4,0.04878048780487805,0.875,0.9512195121951219,0.0,0.0
C42_D1_P2,CCL,12,7,4,0.14634146341463414,0.6470588235294118,0.8536585365853658,0.14285714285714285,0.16666666666666666
C50_D1_P1,Ours,14,7,5,0.3125,0.5238095238095238,0.6875,0.0,0.0
C50_D1_P1,Baseline,14,7,5,0.3125,0.5238095238095238,0.6875,0.0,0.0
C50_D1_P1,w/o_Sobel,14,7,5,0.3125,0.5238095238095238,0.6875,0.0,0.0
C50_D1_P1,w/_Skeleton,14,7,5,0.3125,0.5238095238095238,0.6875,0.0,0.0
C50_D1_P1,CCL,14,7,5,0.25,0.1111111111111111,0.75,0.0,0.0
C60_D2_P1,Ours,8,4,2,0.0625,0.5,0.9375,0.0,0.0
C60_D2_P1,Baseline,8,4,4,0.0625,0.75,0.9375,0.0,0.0
C60_D2_P1,w/o_Sobel,8,4,2,0.0625,0.5,0.9375,0.0,0.0
C60_D2_P1,w/_Skeleton,8,4,2,0.0625,0.5,0.9375,0.0,0.0
C60_D2_P1,CCL,8,4,3,0.1875,0.4,0.8125,0.0,0.0
C79_D1_P2,Ours,8,5,5,0.07142857142857142,0.7777777777777778,0.9285714285714286,0.0,0.125
C79_D1_P2,Baseline,8,5,5,0.10714285714285714,0.75,0.8928571428571429,0.0,0.0
C79_D1_P2,w/o_Sobel,8,5,5,0.07142857142857142,0.7777777777777778,0.9285714285714286,0.0,0.125
C79_D1_P2,w/_Skeleton,8,5,5,0.07142857142857142,0.7777777777777778,0.9285714285714286,0.0,0.125
C79_D1_P2,CCL,8,5,3,0.25,0.0,0.75,0.0,0.0
C79_D2_P1,Ours,8,5,2,0.0,1.0,1.0,0.0,0.125
C79_D2_P1,Baseline,8,5,4,0.17857142857142858,0.6153846153846154,0.8214285714285714,0.2,0.125
C79_D2_P1,w/o_Sobel,8,5,2,0.0,1.0,1.0,0.0,0.125
C79_D2_P1,w/_Skeleton,8,5,2,0.0,1.0,1.0,0.0,0.125
C79_D2_P1,CCL,8,5,1,0.42857142857142855,0.7333333333333333,0.5714285714285714,0.0,0.0
C7_D2_P1,Ours,12,8,3,0.24242424242424243,0.8596491228070176,0.7575757575757576,0.0,0.0
C7_D2_P1,Baseline,12,8,2,0.24242424242424243,0.8260869565217391,0.7575757575757576,0.0,0.0
C7_D2_P1,w/o_Sobel,12,8,3,0.24242424242424243,0.8596491228070176,0.7575757575757576,0.0,0.0
C7_D2_P1,w/_Skeleton,12,8,3,0.24242424242424243,0.8596491228070176,0.7575757575757576,0.0,0.0
C7_D2_P1,CCL,12,8,2,0.2727272727272727,0.4375,0.7272727272727273,0.0,0.0
C7_D2_P2,Ours,12,8,4,0.2727272727272727,0.8125,0.7272727272727273,0.0,0.09090909090909091
C7_D2_P2,Baseline,12,8,3,0.24242424242424243,0.8297872340425532,0.7575757575757576,0.0,0.09090909090909091
C7_D2_P2,w/o_Sobel,12,8,4,0.2727272727272727,0.8125,0.7272727272727273,0.0,0.09090909090909091
C7_D2_P2,w/_Skeleton,12,8,4,0.2727272727272727,0.8125,0.7272727272727273,0.0,0.09090909090909091
C7_D2_P2,CCL,12,8,2,0.2727272727272727,0.4375,0.7272727272727273,0.0,0.0
C8_D1_P1,Ours,11,8,6,0.2,0.6470588235294118,0.8,0.25,0.0
C8_D1_P1,Baseline,11,8,5,0.13333333333333333,0.8260869565217391,0.8666666666666667,0.0,0.0
C8_D1_P1,w/o_Sobel,11,8,6,0.2,0.6470588235294118,0.8,0.25,0.0
C8_D1_P1,w/_Skeleton,11,8,6,0.2,0.6470588235294118,0.8,0.25,0.0
C8_D1_P1,CCL,11,8,1,0.03333333333333333,0.9333333333333333,0.9666666666666667,0.0,0.0
C8_D1_P2,Ours,11,8,5,0.1,0.8695652173913043,0.9,0.0,0.0
C8_D1_P2,Baseline,11,8,3,0.26666666666666666,0.9024390243902439,0.7333333333333333,0.0,0.0
C8_D1_P2,w/o_Sobel,11,8,5,0.1,0.8695652173913043,0.9,0.0,0.0
C8_D1_P2,w/_Skeleton,11,8,5,0.1,0.8695652173913043,0.9,0.0,0.0
C8_D1_P2,CCL,11,8,1,0.1,0.8928571428571429,0.9,0.0,0.0
C8_D1_P3,Ours,11,7,6,0.10344827586206896,0.8846153846153846,0.896551724137931,0.0,0.0
C8_D1_P3,Baseline,11,7,1,0.41379310344827586,0.8681318681318682,0.5862068965517241,0.0,0.0
C8_D1_P3,w/o_Sobel,11,7,6,0.10344827586206896,0.8846153846153846,0.896551724137931,0.0,0.0
C8_D1_P3,w/_Skeleton,11,7,6,0.10344827586206896,0.8846153846153846,0.896551724137931,0.0,0.0
C8_D1_P3,CCL,11,7,1,0.06896551724137931,0.9285714285714286,0.9310344827586207,0.0,0.0
C9_D1_P1,Ours,5,4,3,0.375,0.0,0.625,0.25,0.0
C9_D1_P1,Baseline,5,4,3,0.625,0.0,0.375,0.5,0.0
C9_D1_P1,w/o_Sobel,5,4,3,0.375,0.0,0.625,0.25,0.0
C9_D1_P1,w/_Skeleton,5,4,3,0.375,0.0,0.625,0.25,0.0
C9_D1_P1,CCL,5,4,3,0.375,0.0,0.625,0.25,0.0
C9_D1_P3,Ours,5,4,3,0.625,0.0,0.375,0.5,0.4
C9_D1_P3,Baseline,5,4,2,0.625,0.5454545454545454,0.375,0.25,0.0
C9_D1_P3,w/o_Sobel,5,4,3,0.625,0.0,0.375,0.5,0.4
C9_D1_P3,w/_Skeleton,5,4,3,0.625,0.0,0.375,0.5,0.4
C9_D1_P3,CCL,5,4,2,0.25,0.0,0.75,0.25,0.0
C9_D2_P2,Ours,5,4,3,0.375,0.0,0.625,0.25,0.0
C9_D2_P2,Baseline,5,4,2,0.625,0.5454545454545454,0.375,0.25,0.0
C9_D2_P2,w/o_Sobel,5,4,3,0.375,0.0,0.625,0.25,0.0
C9_D2_P2,w/_Skeleton,5,4,3,0.375,0.0,0.625,0.25,0.0
C9_D2_P2,CCL,5,4,0,0.0,0.0,1.0,0.0,0.0
